timestamp,dataset,threshold,detection_area,recall,precision,f_score,recall_ext,precision_ext,f_score_ext,iou_score_ext
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,1.0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.8766450818369723,0.08871978292313482,0.1611323622698354,0.9059739096729658,0.14594434719669042,0.25139171927858167,0.14098054794593634
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,1.2105263157894737,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.8431733672334445,0.2407887374049381,0.3746010082231379,0.8748602036736698,0.33037133545139347,0.4796235777776785,0.31532226777590877
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,1.4210526315789473,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.8138264738598551,0.2655251396121766,0.4004096225780547,0.8470428530001887,0.3653251845331207,0.5104820886847944,0.3443687405153033
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,1.631578947368421,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7872453519783988,0.2778054604503607,0.4106866130482597,0.8210110888974311,0.3825487898881811,0.5219130372638001,0.35515759813944997
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,1.8421052631578947,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7635298479792447,0.2866575594785377,0.41682389099762357,0.7976800285513617,0.3950423810916578,0.5284002591692807,0.3617080230663782
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,2.052631578947368,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7436062556279538,0.2959273960081863,0.4233695761944488,0.7779485104272538,0.40673904779567294,0.5341864722019285,0.36696035133988403
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,2.263157894736842,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7242620106997255,0.3014378197883032,0.42569951333314276,0.7585258439695479,0.41513181472528027,0.5365929410630891,0.3696614208874429
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,2.473684210526316,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.7080290269611779,0.30685838903901436,0.4281551648786055,0.7421593314950214,0.422512270062192,0.5384718246520023,0.3719582371099296
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,2.6842105263157894,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6916196567614852,0.31053238917860343,0.4286181984939603,0.7258643960687373,0.42844042003405675,0.5388345256935836,0.37292363788387306
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,2.894736842105263,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6770815456327187,0.31493416528661006,0.4299047019279012,0.7113549582354713,0.4342905969552438,0.5393199761703388,0.37428977667592234
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,3.1052631578947367,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6640179564595623,0.31929584660567123,0.4312319683747965,0.6977785810845152,0.43947507553219667,0.5392926901509275,0.37500578300506726
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,3.3157894736842106,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6505966947401903,0.32190907316569145,0.4307079377141669,0.6838657914876007,0.4426260885317466,0.5374150369810918,0.37391587831559175
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,3.526315789473684,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6390150431696624,0.3245542959905735,0.43047255009525454,0.671540654300236,0.44557875197047114,0.5357068228917489,0.37358178882850623
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,3.7368421052631575,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6279188516340928,0.3274298539061063,0.4304174476001372,0.660158752869741,0.4492126794902658,0.5346300994276602,0.37352657100757025
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,3.9473684210526314,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6170586365803294,0.32973369658075885,0.42979862842447447,0.6493271592301479,0.45202817616470947,0.5330053969380519,0.37227240053282157
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4.157894736842105,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6078914402245895,0.3322943566519919,0.4296999456197901,0.6397445800035074,0.45469627875392343,0.5315764207724566,0.37168209751130543
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4.368421052631579,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6000834260289221,0.33476268780839175,0.4297724202612604,0.6314271333672131,0.4572039038279797,0.5303742734550866,0.3717673120932027
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4.578947368421052,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5918525875311197,0.3362540757298712,0.4288576960434059,0.6225218976310363,0.45860334610972187,0.5281360772812443,0.3706265954698242
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,4.789473684210526,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5842485036283709,0.3393534763705851,0.4293337669634605,0.6141638148223556,0.4614391128911469,0.5269587799451634,0.3699840149797266
1757515249,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_0,5.0,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.5757371947666727,0.34030653364411334,0.4277680657059883,0.6057872456309659,0.4627449828332472,0.5246917191436521,0.3689404883717453
1757517139,/home/mgrabmann/data/BBM/level0_random_1dmax_randomrcs_8targets_32chirps_new/seed_1,2.894736842105263,"[[1 1 1]
 [1 1 1]
 [1 1 1]]",0.6831951127540052,0.316839320267395,0.43291123949888416,0.7164875035230027,0.43571156708951714,0.541888807607978,0.3788952194224131
